concept,cluster,pagerank,betweenness,eigenvector,degree
A priori and a posteriori,0,0.016028895823598854,0.00012195121951219512,5.243990250113059e-06,0.0975609756097561
Affect (psychology),1,0.030108016329780895,0.0,0.36641495402664453,0.17073170731707318
Albert Einstein,0,0.023460460530787323,0.00012195121951219512,1.1226928412845467e-05,0.17073170731707318
Aristotle,1,0.021068908035189397,0.0,0.08553850335705969,0.14634146341463417
Assembly language,6,0.023384171652592635,0.0,0.01685764881326734,0.17073170731707318
Belief,1,0.01920370688700008,0.0,0.07217315640436381,0.12195121951219512
Breakpoint,6,0.023384171652592635,0.0,0.01685764881326734,0.17073170731707318
Ceiling,1,0.01920370688700008,0.0,0.07217315640436381,0.12195121951219512
Code,0,0.036527655624620674,0.01097560975609756,1.476044918089959e-05,0.24390243902439024
Consciousness,1,0.02040478572392572,0.031097560975609756,0.2294718658350693,0.17073170731707318
Cost overrun,1,0.006144532630641771,0.0,0.04441431054808107,0.024390243902439025
Critique of Pure Reason,0,0.023460460530787323,0.00012195121951219512,1.1226928412845467e-05,0.17073170731707318
Curiosity,1,0.021068908035189397,0.0,0.08553850335705969,0.14634146341463417
Debugger,6,0.023384171652592635,0.0,0.01685764881326734,0.17073170731707318
Decision-making,1,0.01920370688700008,0.0,0.07217315640436381,0.12195121951219512
Emotion,1,0.08173476868819832,0.4073170731707317,0.46190987861421295,0.5609756097560976
Force,0,0.023460460530787323,0.00012195121951219512,1.1226928412845467e-05,0.17073170731707318
Human,1,0.021068908035189397,0.0,0.08553850335705969,0.14634146341463417
Immanuel Kant,0,0.016028895823598854,0.00012195121951219512,5.243990250113059e-06,0.0975609756097561
In-circuit emulation,6,0.023384171652592635,0.0,0.01685764881326734,0.17073170731707318
Interest (emotion),1,0.021068908035189397,0.0,0.08553850335705969,0.14634146341463417
Intuition,1,0.030108016329780895,0.0,0.36641495402664453,0.17073170731707318
Keep,1,0.021068908035189397,0.0,0.08553850335705969,0.14634146341463417
Learning,0,0.023460460530787323,0.00012195121951219512,1.1226928412845467e-05,0.17073170731707318
Motivation,1,0.021068908035189397,0.0,0.08553850335705969,0.14634146341463417
OS X,6,0.01551240329689078,0.0,0.06381899869559188,0.0975609756097561
Patch (computing),6,0.01551240329689078,0.0,0.06381899869559188,0.0975609756097561
Phenomenology (psychology),1,0.030108016329780895,0.0,0.36641495402664453,0.17073170731707318
Philosophy of space and time,0,0.023460460530787323,0.00012195121951219512,1.1226928412845467e-05,0.17073170731707318
Promotion and relegation,1,0.02040478572392572,0.031097560975609756,0.2294718658350693,0.17073170731707318
Psychological Types,1,0.030108016329780895,0.0,0.36641495402664453,0.17073170731707318
Rate (mathematics),0,0.016028895823598854,0.00012195121951219512,5.243990250113059e-06,0.0975609756097561
Reality,1,0.01920370688700008,0.0,0.07217315640436381,0.12195121951219512
Sentience,1,0.02040478572392572,0.031097560975609756,0.2294718658350693,0.17073170731707318
Software,6,0.03591112018053958,0.19634146341463415,0.07417043953907662,0.2682926829268293
Software bug,6,0.023384171652592635,0.0,0.01685764881326734,0.17073170731707318
Software testing,6,0.023384171652592635,0.0,0.01685764881326734,0.17073170731707318
Special relativity,0,0.023460460530787323,0.00012195121951219512,1.1226928412845467e-05,0.17073170731707318
Spot-fixing,1,0.01920370688700008,0.0,0.07217315640436381,0.12195121951219512
Time,0,0.036527655624620674,0.01097560975609756,1.476044918089959e-05,0.24390243902439024
Tracing (software),6,0.023384171652592635,0.0,0.01685764881326734,0.17073170731707318
Web application,6,0.01551240329689078,0.0,0.06381899869559188,0.0975609756097561
